ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID
,4688,2026-04-18 17:07:29.726122+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{EDC66712-929F-45A9-B50A-5697BC1C69CA}\MicrosoftEdge_X64_147.0.3912.60.exe,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{EDC66712-929F-45A9-B50A-5697BC1C69CA}\EDGEMITMP_710E6.tmp\setup.exe"" --install-archive=""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{EDC66712-929F-45A9-B50A-5697BC1C69CA}\MicrosoftEdge_X64_147.0.3912.60.exe"" --mscopilot --verbose-logging --do-not-launch-msedge --system-level --channel=stable --copilot-upgrade-only=1",1190
C:\Windows\System32\dllhost.exe,4689,2026-04-18 17:07:32.064938+00:00,pizza,,,,1191
C:\Windows\System32\svchost.exe,4689,2026-04-18 17:07:32.407497+00:00,DESKTOP-7CV8A7M$,,,,1192
C:\Windows\System32\RuntimeBroker.exe,4689,2026-04-18 17:07:32.542707+00:00,pizza,,,,1193
,4688,2026-04-18 17:07:34.125086+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",1194
C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2512.26.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,4689,2026-04-18 17:07:40.689253+00:00,pizza,,,,1195
C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2512.26.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,4689,2026-04-18 17:07:41.506763+00:00,pizza,,,,1196
,4688,2026-04-18 17:07:45.932917+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,taskhostw.exe,1197
,4688,2026-04-18 17:07:46.389759+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,consent.exe 4308 834 00000219F9159C30,1198
C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,4689,2026-04-18 17:07:46.846495+00:00,pizza,,,,1199
,4688,2026-04-18 17:07:47.128424+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,/QuitInfo:0000000000000190;0000000000000194; ,1200
C:\Windows\System32\consent.exe,4689,2026-04-18 17:07:48.828007+00:00,DESKTOP-7CV8A7M$,,,,1201
,4688,2026-04-18 17:07:49.331783+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\explorer.exe,"""C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2512.26.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe"" ",1202
C:\Windows\System32\taskhostw.exe,4689,2026-04-18 17:07:50.427359+00:00,DESKTOP-7CV8A7M$,,,,1203
C:\Windows\System32\ctfmon.exe,4689,2026-04-18 17:07:51.887718+00:00,DESKTOP-7CV8A7M$,,,,1204
C:\Windows\System32\svchost.exe,4689,2026-04-18 17:07:54.082136+00:00,DESKTOP-7CV8A7M$,,,,1205
C:\Windows\UUS\Packages\Preview\amd64\MoUsoCoreWorker.exe,4689,2026-04-18 17:07:56.324156+00:00,DESKTOP-7CV8A7M$,,,,1206
,4688,2026-04-18 17:07:58.674767+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,1207
,4688,2026-04-18 17:08:00.529226+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",1208
C:\Windows\System32\wbem\WmiPrvSE.exe,4689,2026-04-18 17:08:00.889267+00:00,DESKTOP-7CV8A7M$,,,,1209
,4688,2026-04-18 17:08:01.098072+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,1210
C:\Windows\System32\backgroundTaskHost.exe,4689,2026-04-18 17:08:01.802576+00:00,pizza,,,,1211
C:\Windows\System32\backgroundTaskHost.exe,4689,2026-04-18 17:08:03.023405+00:00,pizza,,,,1212
,4688,2026-04-18 17:08:04.155016+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.24.25199.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe"" -Embedding",1213
,4688,2026-04-18 17:08:04.560514+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{EDC66712-929F-45A9-B50A-5697BC1C69CA}\EDGEMITMP_710E6.tmp\setup.exe,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{EDC66712-929F-45A9-B50A-5697BC1C69CA}\EDGEMITMP_710E6.tmp\setup.exe"" --mscopilot --channel=stable --system-level --verbose-logging --create-shortcuts=0 --install-level=1",1214
C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.24.25199.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe,4689,2026-04-18 17:08:04.703482+00:00,pizza,,,,1215
